player,initial_guess,ai_value,final_bid,p_score
Cole Palmer,55,74.29,55,8.66
Cole Palmer,66,74.29,77,8.66
Kobbie Mainoo,35,28.43,20,4.69
Cole Palmer,45,74.29,55,8.66
William Saliba,33,28.91,55,
Cole Palmer,33,74.29,33,
Cole Palmer,22,74.29,22,
Evan Ferguson,13,35.1,40,
Cole Palmer,,74.29,,
Cole Palmer,,74.29,,
Cole Palmer,33,74.29,56,
Cole Palmer,55,74.29,66,
Martin Odegaard,33,76.27,66,
Martin Ødegaard,55,76.27,66,
Mohamed Salah,35,55.23,45,
Kobbie Mainoo,22,28.43,2,
Cole Palmer,22,74.29,2,
Kobbie Mainoo,33,28.43,40,
Cole Palmer,33,74.29,50,
Cole Palmer,22,74.29,55,
Cole Palmer,66,74.29,60,
Bukayo Saka,55,82.67,66,
Bukayo Saka,100,82.67,,
